external_gene_name	Description_Ensembl	UniprotAcc
BnaA06g12890D	BnaA06g12890D protein	A0A078GQ02
BnaA06g13570D	3-ketoacyl-CoA synthase	A0A078GJG9
BnaA06g12740D	BnaA06g12740D protein	A0A078K126
BnaA06g13420D	BnaA06g13420D protein	A0A078GJH8
BnaA06g12990D	BnaA06g12990D protein	A0A078GPZ2
BnaA06g13300D	BnaA06g13300D protein	A0A078GNC2
BnaA06g12710D	Hexosyltransferase	A0A078GN28
BnaA06g12880D	BnaA06g12880D protein	A0A078GNB0
BnaA06g12910D	BnaA06g12910D protein	A0A078GN09
BnaA06g13460D	BnaA06g13460D protein	A0A078GMX0
BnaA06g13070D	BnaA06g13070D protein	A0A078GJK3
BnaA06g13310D	BnaA06g13310D protein	A0A078GMX7
BnaA06g12760D	BnaA06g12760D protein	A0A078GN23
BnaA06g13230D	BnaA06g13230D protein	A0A078GN86
BnaA06g12770D	BnaA06g12770D protein	A0A078GJM9
BnaA06g12960D	BnaA06g12960D protein	A0A078GN04
BnaA06g12800D	BnaA06g12800D protein	A0A078GNH0
BnaA06g13390D	BnaA06g13390D protein	A0A078GPV2
BnaA06g13500D	BnaA06g13500D protein	A0A078GNA5
BnaA06g13430D	BnaA06g13430D protein	A0A078GN68
BnaA06g12780D	BnaA06g12780D protein	A0A078GNB7
BnaA06g13480D	BnaA06g13480D protein	A0A078GN64
BnaA06g13000D	BnaA06g13000D protein	A0A078G3G4
BnaA06g13370D	BnaA06g13370D protein	A0A078GJI1
BnaA06g13080D	BnaA06g13080D protein	A0A078GN99
BnaA06g13140D	BnaA06g13140D protein	A0A078GPX9
BnaA06g12900D	BnaA06g12900D protein	A0A078GNG1
BnaA06g12980D	BnaA06g12980D protein	A0A078GNA4
BnaA06g12870D	BnaA06g12870D protein	A0A078GJM0
BnaA06g12920D	BnaA06g12920D protein	A0A078GJL5
BnaA06g13240D	BnaA06g13240D protein	A0A078GPW9
BnaA06g12790D	BnaA06g12790D protein	A0A078GQ11
BnaA06g12970D	BnaA06g12970D protein	A0A078GJL1
BnaA06g13400D	BnaA06g13400D protein	A0A078GNB5
BnaA06g13380D	Hexosyltransferase	A0A078GN72
BnaA06g13120D	BnaA06g13120D protein	A0A078GJJ9
BnaA06g13520D	BnaA06g13520D protein	A0A078GJH1
BnaA06g13260D	BnaA06g13260D protein	A0A078GMX8
BnaA06g12860D	BnaA06g12860D protein	A0A078GN14
BnaA06g13550D	BnaA06g13550D protein	A0A078GNA0
BnaA06g13410D	BnaA06g13410D protein	A0A078GMX1
BnaA06g13160D	BnaA06g13160D protein	A0A078GMY2
BnaA06g13110D	BnaA06g13110D protein	A0A078GMY7
BnaA06g13560D	BnaA06g13560D protein	A0A078GMW4
BnaA06g13350D	Flavin-containing monooxygenase	A0A078GNB9
BnaA06g13060D	BnaA06g13060D protein	A0A078GMZ2
BnaA06g13050D	BnaA06g13050D protein	A0A078GNE7
BnaA06g13010D	BnaA06g13010D protein	A0A078GMZ8
BnaA06g13470D	Glycosyltransferase	A0A078GJH4
BnaA06g13360D	BnaA06g13360D protein	A0A078GMX3
BnaA06g13510D	BnaA06g13510D protein	A0A078GMW7
BnaA06g12810D	BnaA06g12810D protein	A0A078GN18
BnaA06g13030D	BnaA06g13030D protein	A0A078GNA2
BnaA06g13180D	BnaA06g13180D protein	A0A078GN90
BnaA06g13280D	BnaA06g13280D protein	A0A078GN81
BnaA06g13150D	BnaA06g13150D protein	A0A078GND8
BnaA06g12850D	BnaA06g12850D protein	A0A078GNG6
BnaA06g13090D	BnaA06g13090D protein	A0A078GPY4
BnaA06g13130D	BnaA06g13130D protein	A0A078GN94
BnaA06g13170D	BnaA06g13170D protein	A0A078GJJ4
BnaA06g12730D	BnaA06g12730D protein	A0A078GNC1
BnaA06g13530D	BnaA06g13530D protein	A0A078GN61
BnaA06g13220D	BnaA06g13220D protein	A0A078GJJ1
BnaAnng27360D	BnaAnng27360D protein	A0A078JNW0
BnaC07g49150D	BnaC07g49150D protein (Fragment)	A0A078JNG1
BnaCnng76240D	BnaCnng76240D protein	A0A078JZN1
BnaCnng45680D	BnaCnng45680D protein	A0A078JBM7
BnaCnng45670D	BnaCnng45670D protein	A0A078JHX2
BnaAnng40510D	BnaA02g30410D protein	A0A078K0W1
BnaC05g25200D	BnaC05g25200D protein	A0A078IFA0
BnaC05g25210D	BnaC05g25210D protein	A0A078IJJ8
BnaC05g25190D	BnaC05g25190D protein	A0A078IHV9
BnaC05g25270D	BnaC05g25270D protein	A0A078IKG8
BnaC05g25230D	BnaC05g25230D protein	A0A078IHY9
BnaC05g25250D	BnaC05g25250D protein	A0A078IF96
BnaC05g25240D	BnaC05g25240D protein	A0A078IHV6
BnaC05g25260D	BnaC05g25260D protein	A0A078IJJ4
BnaC05g25220D	BnaC05g25220D protein	A0A078IKG9
BnaCnng66640D	BnaCnng66640D protein (Fragment)	A0A078JUF9
BnaAnng30180D	BnaAnng30180D protein	A0A078JUV7
BnaAnng30190D	BnaAnng30190D protein (Fragment)	A0A078JV45
BnaC02g47290D	BnaC02g47290D protein	A0A078JJL7
BnaC02g47310D	Auxin-responsive protein	A0A078JMF0
BnaC02g47300D	Transcription elongation factor 1 homolog	A0A078JKG4
BnaA08g31080D	BnaA08g31080D protein	A0A078JZS5
BnaCnng59170D	BnaCnng59170D protein	A0A078JPV3
BnaC01g42070D	BnaC01g42070D protein	A0A078JVU3
BnaUnng03070D	BnaUnng03070D protein	A0A078JRE2
BnaCnng76020D	BnaCnng76020D protein (Fragment)	A0A078K2S2
BnaAnng31070D	BnaAnng31070D protein	A0A078JS24
BnaAnng26540D	BnaAnng26540D protein	A0A078JN40
BnaCnng65940D	BnaCnng65940D protein (Fragment)	A0A078JTZ0
BnaCnng71570D	BnaCnng71570D protein	A0A078JZZ3
BnaCnng67180D	BnaCnng67180D protein	A0A078JUR2
BnaCnng64110D	BnaCnng64110D protein (Fragment)	A0A078JVG1
BnaCnng70680D	40S ribosomal protein S12	A0A078JX32
BnaCnng48120D	Protein DETOXIFICATION	A0A078JG55
BnaAnng03090D	BnaAnng03090D protein	A0A078G047
BnaAnng03020D	BnaAnng03020D protein	A0A078G1H6
BnaAnng02870D	BnaAnng02870D protein	A0A078G1F5
BnaAnng03220D	Chromatin-remodeling complex ATPase	A0A078G1K5
BnaAnng02980D	BnaAnng02980D protein	A0A078G2E5
BnaAnng02680D	BnaAnng02680D protein	A0A078G2B7
BnaAnng03010D	BnaAnng03010D protein	A0A078G0K8
BnaAnng02580D	BnaAnng02580D protein	A0A078G2A7
BnaAnng02610D	BnaAnng02610D protein	A0A078G0G8
BnaAnng03110D	Hexosyltransferase	A0A078G0L8
BnaAnng02790D	BnaAnng02790D protein	A0A078G028
BnaAnng02740D	BnaAnng02740D protein	A0A078G025
BnaAnng02890D	BnaAnng02890D protein	A0A078G035
BnaAnng02480D	BnaAnng02480D protein	A0A078G297
BnaAnng03060D	BnaAnng03060D protein	A0A078G0L2
BnaAnng02440D	BnaAnng02440D protein	A0A078FZZ2
BnaAnng02690D	BnaAnng02690D protein	A0A078G018
BnaAnng02900D	Probable alkaline/neutral invertase A, chloroplastic	Q84JL5
BnaAnng02760D	Phospholipase D zeta 2	Q9M9W8
BnaAnng02390D	BnaAnng02390D protein	A0A078FZY7
BnaAnng03170D	BnaAnng03170D protein	A0A078G1K1
BnaAnng02490D	BnaAnng02490D protein	A0A078FZZ6
BnaAnng03040D	BnaAnng03040D protein	A0A078G043
BnaAnng02960D	BnaAnng02960D protein	A0A078G0K3
BnaAnng02820D	BnaAnng02820D protein	A0A078G1E7
BnaAnng02460D	BnaAnng02460D protein	A0A078G0F5
BnaAnng02360D	BnaAnng02360D protein	A0A078G0E7
BnaAnng02420D	Acyl-coA binding protein	A0A078G1A2
BnaAnng03120D	BnaAnng03120D protein	A0A078G1J6
BnaAnng02520D	BnaAnng02520D protein	A0A078G1B6
BnaAnng02880D	Lon protease homolog, mitochondrial	A0A078G2D4
BnaAnng02640D	BnaAnng02640D protein	A0A078G012
BnaAnng02330D	BnaAnng02330D protein	A0A078G284
BnaAnng02570D	BnaAnng02570D protein	A0A078G1C1
BnaAnng02470D	BnaAnng02470D protein	A0A078G0H2
BnaAnng02660D	BnaAnng02470D protein	A0A078G0H2
BnaAnng02620D	BnaAnng02620D protein	A0A078G1C5
BnaAnng02860D	BnaAnng02860D protein	A0A078G0J3
BnaAnng02630D	BnaAnng02630D protein	A0A078G2B2
BnaAnng03030D	BnaAnng03030D protein	A0A078G2E9
BnaAnng02340D	Cyclin	A0A078FZY1
BnaAnng03130D	BnaAnng03130D protein	A0A078G2F9
BnaAnng02830D	BnaAnng02830D protein	A0A078G2D1
BnaAnng02430D	BnaAnng02430D protein	A0A078G294
BnaAnng03190D	Classical arabinogalactan protein 27	Q9SQT9
BnaAnng02600D	BnaAnng02600D protein	A0A078FWI0
BnaAnng03230D	BnaAnng03230D protein	A0A078G2G7
BnaAnng02910D	BnaAnng02910D protein	A0A078G0J8
BnaAnng02780D	BnaAnng02780D protein	A0A078G2C7
BnaAnng02530D	BnaAnng02530D protein	A0A078G2A2
BnaAnng03180D	BnaAnng03180D protein	A0A078G2G2
BnaAnng02350D	BnaAnng02350D protein	A0A078FWF2
BnaAnng03210D	BnaAnng03210D protein	A0A078G0M8
BnaAnng02590D	BnaAnng02590D protein	A0A078G007
BnaAnng02400D	BnaAnng02400D protein	A0A078FWF7
BnaAnng02970D	BnaAnng02970D protein	A0A078G1G9
BnaAnng02720D	BnaAnng02720D protein	A0A078G1D4
BnaAnng02940D	BnaAnng02940D protein	A0A078G037
BnaAnng03000D	T-complex protein 1 subunit gamma	A0A078FWM7
BnaAnng02560D	Cyclin	A0A078G0G4
BnaAnng02850D	BnaAnng02850D protein	A0A078FWL1
BnaAnng02540D	Protein YIPF	A0A078G002
BnaAnng02840D	BnaA05g31670D protein	A0A078EZT1
BnaAnng02500D	BnaAnng02500D protein	A0A078FWH0
BnaAnng02800D	Serine/threonine-protein phosphatase	A0A078FWK5
BnaAnng02370D	BnaAnng02370D protein	A0A078G197
BnaAnng02730D	BnaAnng02730D protein	A0A078G2C1
BnaAnng03200D	BnaAnng03200D protein	A0A078FWP7
BnaAnng03080D	BnaAnng03080D protein	A0A078G2F4
BnaAnng02930D	BnaAnng02930D protein	A0A078G2D9
BnaAnng02380D	BnaAnng02380D protein	A0A078G289
BnaAnng02700D	BnaAnng02700D protein	A0A078FWJ3
BnaAnng02950D	BnaAnng02950D protein	A0A078FWM1
BnaAnng02410D	BnaAnng02410D protein	A0A078G0F2
BnaAnng02550D	BnaAnng02550D protein	A0A078FWH6
BnaAnng02810D	BnaAnng02810D protein	A0A078G0I8
BnaAnng03100D	BnaAnng03100D protein	A0A078FWN6
BnaAnng02310D	BnaAnng02310D protein	A0A078G0E3
BnaAnng03140D	BnaAnng03140D protein	A0A078G052
BnaAnng02920D	BnaAnng02920D protein	A0A078G1G2
BnaAnng02770D	BnaAnng02770D protein	A0A078G1E1
BnaAnng03160D	BnaAnng03160D protein	A0A078G0M3
BnaAnng02650D	BnaAnng02650D protein	A0A078FWI6
BnaAnng02320D	Protein YIPF	A0A078G191
BnaAnng03150D	BnaAnng03150D protein	A0A078FWP2
BnaAnng02990D	BnaAnng02990D protein	A0A078G041
BnaAnng03050D	Probable ATP-dependent DNA helicase CHR12	F4J9M5
BnaAnng02450D	BnaAnng02450D protein	A0A078FWG4
BnaAnng02670D	BnaAnng02670D protein	A0A078G1D0
BnaAnng03070D	BnaAnng03070D protein	A0A078G1I0
BnaAnng02510D	BnaAnng02510D protein	A0A078G0G0
BnaAnng02750D	BnaAnng02750D protein	A0A078FWJ8
BnaAnng02710D	BnaAnng02710D protein	A0A078G0H7
BnaCnng10710D	BnaCnng10710D protein	A0A078HZ86
BnaCnng10700D	BnaCnng10700D protein	A0A078HWV6
BnaCnng10690D	BnaCnng10690D protein	A0A078I037
BnaCnng69480D	BnaCnng69480D protein (Fragment)	A0A078JYU1
BnaAnng30420D	BnaAnng30420D protein	A0A078JV02
BnaAnng23860D	BnaAnng23860D protein	A0A078JLB5
BnaAnng23870D	BnaAnng23870D protein	A0A078JN90
BnaA07g37760D	BnaA07g37760D protein	A0A078JU54
BnaCnng72090D	BnaCnng72090D protein	A0A078JUQ9
BnaA08g30090D	BnaA08g30090D protein	A0A078JH51
BnaC06g41720D	BnaC06g41720D protein (Fragment)	A0A078JWK6
BnaA05g36870D	BnaA05g36870D protein	A0A078JWG6
BnaAnng34330D	BnaAnng34330D protein (Fragment)	A0A078JY70
BnaC06g29600D	BnaC06g29600D protein	A0A078H802
BnaC06g29620D	BnaC06g29620D protein	A0A078H4T7
BnaC06g29660D	BnaC06g29660D protein	A0A078H6V3
BnaC06g29890D	BnaC06g29890D protein	A0A078H9R7
BnaC06g29810D	BnaC06g29810D protein	A0A078H6U1
BnaC06g29550D	BnaC06g29550D protein	A0A078H805
BnaC06g29980D	BnaC06g29980D protein	A0A078H7V2
BnaC06g29820D	BnaC06g29820D protein	A0A078H4R9
BnaC06g29720D	BnaC06g29720D protein	A0A078H4S6
BnaC06g29740D	BnaC06g29740D protein	A0A078H9T0
BnaC06g29910D	BnaC06g29910D protein	A0A078H6T1
BnaC06g29540D	BnaC06g29540D protein	A0A078H9U7
BnaC06g29990D	BnaC06g29990D protein	A0A078H9Q9
BnaC06g29870D	BnaC06g29870D protein	A0A078H4R4
BnaC06g29570D	BnaC06g29570D protein	A0A078H4U3
BnaC06g29780D	BnaC06g29780D protein	A0A078H7W5
BnaC06g29960D	BnaC06g29960D protein	A0A078H6S7
BnaC06g29750D	BnaC06g29750D protein	A0A078H7Z3
BnaC06g29970D	BnaC06g29970D protein	A0A078H4Q3
BnaC06g29640D	BnaC06g29640D protein	A0A078H9T8
BnaC06g29830D	BnaC06g29830D protein	A0A078H7W0
BnaC06g29800D	BnaC06g29800D protein	A0A078H7Z1
BnaC06g29690D	BnaC06g29690D protein	A0A078H9T5
BnaC06g29790D	BnaC06g29790D protein	A0A078H9S5
BnaC06g29900D	DNA-directed RNA polymerase	A0A078H7Y5
BnaC06g29630D	BnaC06g29630D protein	A0A078H7Y4
BnaC06g29880D	BnaC06g29880D protein	A0A078H7V7
BnaC06g29930D	BnaC06g29930D protein	A0A078H7V4
BnaC06g29710D	BnaC06g29710D protein	A0A078H6U9
BnaC06g29840D	BnaC06g29840D protein	A0A078H9S2
BnaC06g29940D	BnaC06g29940D protein	A0A078H9R4
BnaC06g29770D	BnaC06g29770D protein	A0A078H4S3
BnaC06g29680D	BnaC06g29680D protein	A0A078H7X8
BnaC06g29850D	BnaC06g29850D protein	A0A078H7Y8
BnaC06g29950D	BnaC06g29950D protein	A0A078H7Y2
BnaC06g29530D	BnaC06g29530D protein	A0A078E3R5
BnaC06g29580D	BnaC06g29580D protein	A0A078H7Z2
BnaC06g29650D	BnaC06g29650D protein	A0A078H7Z9
BnaC06g29860D	RING-type E3 ubiquitin transferase	A0A078H6T5
BnaC06g29670D	BnaC06g29670D protein	A0A078H4T2
BnaC06g29700D	Peroxidase	A0A078H7Z5
BnaC06g29590D	BnaC06g29590D protein	A0A078H9U3
BnaC06g29920D	BnaC06g29920D protein	A0A078H4Q9
BnaC06g29730D	BnaC06g29730D protein	A0A078H7X1
BnaC06g29560D	BnaC06g29560D protein	A0A078H6W2
BnaC06g29760D	BnaC06g29760D protein	A0A078H6U5
BnaC06g29610D	BnaC06g29610D protein	A0A078H6V9
BnaA04g15290D	BnaA04g15290D protein	A0A078HEU3
BnaA04g14940D	BnaA04g14940D protein	A0A078HEX4
BnaA04g15050D	BnaA04g15050D protein	A0A078HC29
BnaA04g14780D	BnaA04g14780D protein	A0A078HD50
BnaA04g15270D	BnaA04g15270D protein	A0A078HA29
BnaA04g14830D	BnaA04g14830D protein	A0A078HD43
BnaA04g14730D	BnaA04g14730D protein	A0A078HD57
BnaA04g15240D	BnaA04g15240D protein	A0A078HEU8
BnaA04g14960D	BnaA04g14960D protein	A0A078HC62
BnaA04g14810D	BnaA04g14810D protein	A0A078HC79
BnaA04g15040D	BnaA04g15040D protein	A0A078HEW7
BnaA04g14980D	BnaA04g14980D protein	A0A078HD23
BnaA04g14820D	BnaA04g14820D protein	A0A078HA77
BnaA04g15000D	BnaA04g15000D protein	A0A078HC31
BnaA04g15280D	BnaA04g15280D protein	A0A078HCY9
BnaA04g15250D	BnaA04g15250D protein	A0A078HC16
BnaA04g15300D	BnaA04g15300D protein	A0A078HC11
BnaA04g14970D	BnaA04g14970D protein	A0A078HA59
BnaA04g14790D	BnaA04g14790D protein	A0A078HEZ1
BnaA04g14860D	BnaA04g14860D protein	A0A078HC73
BnaA04g15130D	BnaA04g15130D protein	A0A078HD05
BnaA04g14890D	BnaA04g14890D protein	A0A078HEX9
BnaA04g15020D	BnaA04g15020D protein	A0A078HA54
BnaA04g15190D	BnaA04g15190D protein	A0A078HEV5
BnaA04g14950D	BnaA04g14950D protein	A0A078HC34
BnaA04g14740D	BnaA04g14740D protein	A0A078HEZ7
BnaA04g15010D	BnaA04g15010D protein	A0A078HC54
BnaA04g15140D	BnaA04g15140D protein	A0A078HEW1
BnaA04g15080D	Mitochondrial fission 1 protein	A0A078HD10
BnaA04g15110D	BnaA04g15110D protein	A0A078HC46
BnaA04g14910D	BnaA04g14910D protein	A0A078HC68
BnaA04g15320D	BnaA04g15320D protein	A0A078HA25
BnaA04g14990D	BnaA04g14990D protein	A0A078HEW9
BnaA04g14750D	BnaA04g14750D protein	A0A078HC51
BnaA04g14930D	BnaA04g14930D protein	A0A078HD30
BnaA04g14840D	BnaA04g14840D protein	A0A078HEY5
BnaA04g15220D	BnaA04g15220D protein	A0A078HA33
BnaA04g15230D	BnaA04g15230D protein	A0A078HCZ4
BnaA04g15350D	BnaA04g15350D protein	A0A078HC08
BnaA04g15030D	BnaA04g15030D protein	A0A078HD17
BnaA04g15330D	BnaA04g15330D protein	A0A078HCY2
BnaA04g15310D	Hexosyltransferase	A0A078HC26
BnaA04g15170D	BnaA04g15170D protein	A0A078HA39
BnaA04g15260D	BnaA04g15260D protein	A0A078HC32
BnaA04g15370D	BnaA04g15370D protein	A0A078HA23
BnaA04g15090D	BnaA04g15090D protein	A0A078HEW4
BnaA04g15380D	3-ketoacyl-CoA synthase	A0A078HCX3
BnaA04g15100D	BnaA04g15100D protein	A0A078HC25
BnaA04g15160D	BnaA04g15160D protein	A0A078HC40
BnaA04g15070D	BnaA04g15070D protein	A0A078HA48
BnaA04g14850D	BnaA04g14850D protein	A0A078HC43
BnaA04g15120D	BnaA04g15120D protein	A0A078HA43
BnaA04g15360D	BnaA04g15360D protein	A0A078HC17
BnaA04g14920D	BnaA04g14920D protein	A0A078HA65
BnaA04g14760D	Two-component response regulator	A0A078HC85
BnaA04g14770D	BnaA04g14770D protein	A0A078HA85
BnaA04g14880D	BnaA04g14880D protein	A0A078HD38
BnaA04g14900D	BnaA04g14900D protein	A0A078HC38
BnaA04g15060D	BnaA04g15060D protein	A0A078HC49
BnaA04g14800D	BnaA04g14800D protein	A0A078HC47
BnaA04g15340D	BnaA04g15340D protein	A0A078HEU0
BnaA04g15210D	Oleosin	A0A078HC36
BnaA04g14870D	BnaA04g14870D protein	A0A078CPH6
BnaA04g15180D	BnaA04g15180D protein	A0A078HCZ9
BnaA04g15200D	BnaA04g15200D protein	A0A078HC19
BnaA04g15150D	BnaA04g15150D protein	A0A078HC22
BnaA02g27350D	BnaA02g27350D protein	A0A078II98
BnaA02g27380D	BnaA02g27380D protein	A0A078IJV6
BnaA02g27390D	BnaA02g27390D protein	A0A078IFL2
BnaA02g27310D	BnaA02g27310D protein	A0A078IIC5
BnaA02g27320D	BnaA02g27320D protein	A0A078IKU2
BnaA02g27270D	Sulfotransferase	A0A078IKT9
BnaA02g27250D	BnaA02g27250D protein	A0A078II85
BnaA02g27330D	BnaA02g27330D protein	A0A078IJV2
BnaA02g27370D	BnaA02g27370D protein	A0A078IKU5
BnaA02g27400D	BnaA02g27400D protein	A0A078IIA2
BnaA02g27260D	BnaA02g27260D protein	A0A078IIB9
BnaA02g27280D	Sulfotransferase	A0A078IJU9
BnaA02g27300D	Sulfotransferase	A0A078II91
BnaA02g27340D	BnaA02g27340D protein	A0A078IFK7
BnaA02g27410D	BnaA02g27410D protein (Fragment)	A0A078IID6
BnaA02g27290D	Sulfotransferase	A0A078IFK1
BnaA02g27360D	BnaA02g27360D protein	A0A078IID1
BnaC05g29990D	BnaC05g29990D protein	A0A078HKW3
BnaC05g30130D	BnaC05g30130D protein	A0A078HIL7
BnaC05g30190D	Lipoxygenase	A0A078HKY0
BnaC05g30090D	BnaC05g30090D protein	A0A078HKX1
BnaC05g29980D	BnaC05g29980D protein	A0A078HIJ9
BnaC05g30140D	Imidazoleglycerol-phosphate dehydratase	A0A078HKX5
BnaC05g30060D	BnaC05g30060D protein	A0A078HNB3
BnaC05g30160D	BnaC05g30160D protein	A0A078HNC2
BnaC05g29950D	BnaC05g29950D protein	A0A078HKA1
BnaC05g30120D	BnaC05g30120D protein	A0A078HLT4
BnaC05g30000D	BnaC05g30000D protein	A0A078HKA7
BnaC05g29960D	BnaC05g29960D protein	A0A078HNA2
BnaC05g30020D	BnaC05g30020D protein	A0A078HLS2
BnaC05g30150D	BnaC05g30150D protein	A0A078HKC2
BnaC05g30040D	BnaC05g30040D protein	A0A078HKW7
BnaC05g30050D	BnaC05g30050D protein	A0A078HKB2
BnaC05g30030D	BnaC05g30030D protein	A0A078HIK4
BnaC05g30110D	FRIGIDA-like protein	A0A078HNB7
BnaC05g30080D	BnaC05g30080D protein	A0A078HIL1
BnaC05g30100D	BnaC05g30100D protein	A0A078HKB7
BnaC05g30010D	BnaC05g30010D protein	A0A078HNA6
BnaC05g30170D	BnaC05g30170D protein	A0A078HLT9
BnaC05g30180D	BnaC05g30180D protein	A0A078HIM1
BnaC05g30070D	BnaC05g30070D protein	A0A078HLS9
BnaC05g29970D	BnaC05g29970D protein	A0A078HLR7
BnaAnng23890D	BnaAnng23890D protein	A0A078JLF0
BnaC03g73280D	BnaC03g73280D protein	A0A078JKD5
BnaC03g73270D	BnaC03g73270D protein	A0A078JJJ7
BnaAnng24940D	BnaA02g10870D protein	A0A078GPF7
BnaA01g27960D	BnaA01g27960D protein	A0A078IAK9
BnaA01g27860D	BnaA01g27860D protein	A0A078IAJ6
BnaA01g27910D	BnaA01g27910D protein	A0A078IAK2
BnaA01g27820D	BnaA01g27820D protein	A0A078I9Q8
BnaA01g28030D	BnaA01g28020D protein	A0A078I9S6
BnaA01g27920D	BnaA01g27920D protein	A0A078I9S0
BnaA01g27940D	BnaA01g27940D protein	A0A078IC10
BnaA01g28000D	BnaA01g28000D protein	A0A078I7K1
BnaA01g27870D	BnaA01g27870D protein	A0A078I9R6
BnaA01g27890D	BnaA01g27890D protein	A0A078IC05
BnaA01g27830D	Glutamate decarboxylase	A0A078ICB1
BnaA01g27990D	BnaA01g27990D protein	A0A078IC15
BnaA01g27810D	Purple acid phosphatase	A0A078IAJ0
BnaA01g27880D	BnaA01g27880D protein	A0A078ICB5
BnaA01g28020D	BnaA01g28020D protein	A0A078I9S6
BnaA01g27800D	BnaA01g27800D protein	A0A078I7H7
BnaA01g27980D	BnaA01g27980D protein	A0A078ICC1
BnaA01g27850D	BnaA01g27850D protein	A0A078I7I2
BnaA01g27840D	BnaA01g27840D protein	A0A078IBZ9
BnaA01g27930D	BnaA01g27930D protein	A0A078ICB9
BnaA01g27900D	BnaA01g27900D protein	A0A078I7J0
BnaA01g27970D	BnaA01g27970D protein	A0A078I9S3
BnaA01g28040D	BnaA01g28040D protein	A0A078IC21
BnaA01g27950D	Auxin-responsive protein	A0A078I7J6
BnaA01g28010D	BnaA01g28010D protein	A0A078IAL5
BnaCnng59300D	BnaCnng59300D protein	A0A078JLX2
BnaC02g18480D	BnaA05g08510D protein	A0A078CXQ2
BnaC02g18570D		NA
BnaC02g18500D	BnaA05g08500D protein	A0A078G7S8
BnaC02g18610D		NA
BnaC02g17830D		NA
BnaC02g18220D		NA
BnaC02g18300D		NA
BnaC02g18470D	BnaA05g08500D protein	A0A078G7S8
BnaC02g18740D		NA
BnaC02g18080D		NA
BnaC02g18810D		NA
BnaC02g18360D		NA
BnaC02g18050D		NA
BnaC02g18930D		NA
BnaC02g18060D		NA
BnaC02g17930D		NA
BnaC02g18380D		NA
BnaC02g18390D		NA
BnaC02g18520D		NA
BnaC02g17850D		NA
BnaC02g18030D		NA
BnaC02g18550D		NA
BnaC02g18880D		NA
BnaC02g18330D		NA
BnaC02g18190D		NA
BnaC02g18750D	BnaA02g14130D protein	A0A078I4N2
BnaC02g18350D		NA
BnaC02g18410D		NA
BnaC02g19100D		NA
BnaC02g18290D		NA
BnaC02g17960D		NA
BnaC02g18170D		NA
BnaC02g17920D		NA
BnaC02g17790D		NA
BnaC02g17870D		NA
BnaC02g18680D	BnaA02g14080D protein	A0A078D032
BnaC02g19080D		NA
BnaC02g17820D		NA
BnaC02g18690D		NA
BnaC02g19060D		NA
BnaC02g18240D		NA
BnaC02g18230D		NA
BnaC02g18040D		NA
BnaC02g18660D		NA
BnaC02g18020D		NA
BnaC02g18710D		NA
BnaC02g18000D		NA
BnaC02g17780D		NA
BnaC02g19070D		NA
BnaC02g17880D		NA
BnaC02g18850D		NA
BnaC02g18430D		NA
BnaC02g18420D		NA
BnaC02g18970D		NA
BnaC02g18280D		NA
BnaC02g18860D		NA
BnaC02g18960D		NA
BnaC02g17760D		NA
BnaC02g18340D		NA
BnaC02g18440D		NA
BnaC02g18070D		NA
BnaC02g18400D		NA
BnaC02g19010D		NA
BnaC02g18130D		NA
BnaC02g18250D		NA
BnaC02g19050D		NA
BnaC02g18620D		NA
BnaC02g18900D		NA
BnaC02g18870D		NA
BnaC02g18780D		NA
BnaC02g18990D		NA
BnaC02g17800D		NA
BnaC02g18090D		NA
BnaC02g18950D		NA
BnaC02g18700D		NA
BnaC02g18590D		NA
BnaC02g19000D		NA
BnaC02g18580D		NA
BnaC02g17840D		NA
BnaC02g18800D		NA
BnaC02g18720D		NA
BnaC02g18790D		NA
BnaC02g17970D		NA
BnaC02g18540D		NA
BnaC02g19110D		NA
BnaC02g17740D		NA
BnaC02g18840D		NA
BnaC02g18650D		NA
BnaC02g18890D		NA
BnaC02g17900D		NA
BnaC02g19030D		NA
BnaC02g19120D		NA
BnaC02g18530D		NA
BnaC02g19090D		NA
BnaC02g18600D		NA
BnaC02g18490D		NA
BnaC02g18270D		NA
BnaC02g18910D		NA
BnaC02g18670D		NA
BnaC02g18210D		NA
BnaC02g18320D		NA
BnaC02g18730D		NA
BnaC02g17980D		NA
BnaC02g17910D		NA
BnaC02g17950D		NA
BnaC02g18200D		NA
BnaC02g18150D		NA
BnaC02g18370D		NA
BnaC02g18450D		NA
BnaC02g19040D		NA
BnaC02g18180D		NA
BnaC02g17860D		NA
BnaC02g18760D		NA
BnaC02g17940D		NA
BnaC02g18260D		NA
BnaC02g18920D		NA
BnaC02g18980D		NA
BnaC02g18140D		NA
BnaC02g18630D		NA
BnaC02g18940D		NA
BnaC02g17890D		NA
BnaC02g18160D		NA
BnaC02g19020D		NA
BnaC02g18010D		NA
BnaC02g18310D		NA
BnaC02g17750D		NA
BnaC02g18100D		NA
BnaC02g18120D		NA
BnaC02g18560D		NA
BnaC02g18770D		NA
BnaC02g17990D		NA
BnaC02g18460D		NA
BnaC02g18830D		NA
BnaC02g17810D		NA
BnaC02g17770D		NA
BnaC02g18110D		NA
BnaC02g18640D		NA
BnaC02g18820D		NA
BnaC02g18510D	BnaA05g08510D protein	A0A078CXQ2
BnaCnng46900D	Diphosphomevalonate decarboxylase	A0A078JFC7
