entrezgene_id	external_gene_name	Description_NCBI	ALIAS
106410376	BnaCnng07490D	"protein FATTY ACID EXPORT 1, chloroplastic"	LOC106410376
106410377	BnaCnng07480D	uncharacterized BNACNNG07480D	BNACNNG07480D
106410420	BnaA06g36360D	nuclear polyadenylated RNA-binding protein 3	LOC106410420
106410421	BnaA06g36380D	acid phosphatase 1	LOC106410421
106410430	BnaC07g15310D	dolichol-phosphate mannosyltransferase subunit 1	LOC106410430
106410439	BnaCnng15740D	probable pectate lyase 22	LOC106410439
106410440	BnaCnng15730D	probable inactive purple acid phosphatase 29	LOC106410440
106410462	BnaC05g23280D	ABC transporter C family member 1	LOC106410462
106410467	BnaC07g51280D	cytochrome P450 79B1	LOC106410467
106410468	BnaC07g51290D	"adenylyl-sulfate kinase 2, chloroplastic"	LOC106410468
106410474	BnaC07g49130D	O-fucosyltransferase 27	BNAC07G49130D
106410502	BnaCnng22360D	PXMP2/4 family protein 4	LOC106410502
106410504	BnaCnng22340D	uncharacterized BNACNNG22340D	BNACNNG22340D
106410505	BnaCnng22350D	protein SYM1	LOC106410505
106410508	BnaCnng22380D	gibberellin-regulated protein 7-like	LOC106410508
106410516	BnaC07g40420D	vacuolar protein sorting-associated protein 22 homolog 1	LOC106410516
106410516	BnaA03g48390D	vacuolar protein sorting-associated protein 22 homolog 1	LOC106410516
106410522	BnaC05g23330D	BTB/POZ domain-containing protein At1g30440	LOC106410522
106410532	BnaC07g13610D	phosphatidylinositol-3-phosphatase SAC1	LOC106410532
106410533	BnaC07g13600D	transcription factor MYB3	LOC106410533
106410544	BnaA06g36400D	glutathionyl-hydroquinone reductase YqjG	LOC106410544
106410579	BnaC06g18830D	"2-methyl-6-phytyl-1,4-hydroquinone methyltransferase, chloroplastic"	LOC106410579
106410586	BnaA02g24350D	cullin-4	LOC106410586
106410590	BnaA02g22580D	probable serine/threonine-protein kinase At1g54610	LOC106410590
106410591	BnaC05g23700D	patellin-4	LOC106410591
106410619	BnaC07g49830D	COBRA-like protein 5	LOC106410619
106410645	BnaC07g29570D	CBL-interacting serine/threonine-protein kinase 25-like	CIPK25.1
106410645	BnaC07g29570D	CBL-interacting serine/threonine-protein kinase 25-like	LOC106410645
106410648	BnaC03g21580D	haloacid dehalogenase-like hydrolase domain-containing protein Sgpp	LOC106410648
106410676	BnaA02g24510D	disease resistance protein RPS6	LOC106410676
106410687	BnaA06g36450D	alcohol dehydrogenase class-3	LOC106410687
106410695	BnaA05g13210D	serine/threonine-protein kinase STY13	LOC106410695
106410698	BnaC09g18620D	heat stress transcription factor A-4c	LOC106410698
106410713	BnaCnng07580D	triacylglycerol lipase SDP1L-like	LOC106410713
106410722	BnaA10g09010D	ubiquitin carboxyl-terminal hydrolase MINDY-3	LOC106410722
106410729	BnaA06g36230D	phospholipid-transporting ATPase 2	LOC106410729
106410731	BnaCnng62090D	cytochrome P450 71B22	LOC106410731
106410745	BnaA06g17010D	"L-galactono-1,4-lactone dehydrogenase, mitochondrial"	LOC106410745
106410752	BnaCnng03290D	probable protein phosphatase 2C 67	LOC106410752
106410758	BnaCnng07350D	calcium-dependent protein kinase 32	LOC106410758
106410763	BnaCnng14850D	replication factor C subunit 2	LOC106410763
106410765	BnaCnng14830D	bifunctional UDP-glucose 4-epimerase and UDP-xylose 4-epimerase 3	LOC106410765
106410770	BnaA05g13220D	non-specific lipid transfer protein GPI-anchored 25	LOC106410770
106410776	BnaCnng43380D	F-box protein At2g16365	LOC106410776
106410826	BnaA07g25020D	endoplasmic reticulum metallopeptidase 1	LOC106410826
106410828	BnaA07g25040D	REF/SRPP-like protein At1g67360	LOC106410828
106410829	BnaA07g25010D	60S ribosomal protein L17-2	LOC106410829
106410830	BnaC09g37260D	ribosomal RNA processing protein 1 homolog	LOC106410830
106410833	BnaC09g37170D	FCS-Like Zinc finger 14	BNAC09G37170D
106410846	BnaC03g21720D	basic leucine zipper 25	LOC106410846
106410857	BnaC05g23610D	obg-like ATPase 1	LOC106410857
106410869	BnaCnng32470D	serine/threonine-protein phosphatase BSL3	LOC106410869
106410874	BnaCnng39920D	protein IRX15-LIKE	LOC106410874
106410876	BnaCnng38570D	insulin-degrading enzyme-like 2	LOC106410876
106410878	BnaCnng38560D	zinc finger AN1 and C2H2 domain-containing stress-associated protein 13	LOC106410878
106410879	BnaCnng07380D	uncharacterized BNACNNG07380D	BNACNNG07380D
106410885	BnaC07g32870D	lipase-like PAD4	LOC106410885
106410905	BnaC04g06790D	CBL-interacting serine/threonine-protein kinase 22-like	CIPK22.1
106410905	BnaC04g06790D	CBL-interacting serine/threonine-protein kinase 22-like	LOC106410905
106410912	BnaA05g18660D	amino acid permease 5-like	LOC106410912
106410912	BnaA05g18660D	amino acid permease 5-like	AAP5-1
106410919	BnaC04g31120D	amino acid transporter AVT6B	LOC106410919
106410926	BnaC07g50480D	formin-like protein 5	LOC106410926
106410933	BnaC05g23780D	lysine-specific demethylase JMJ18	LOC106410933
106410939	BnaC07g39770D	transmembrane ascorbate ferrireductase 1	LOC106410939
106410939	BnaCnng31860D	transmembrane ascorbate ferrireductase 1	LOC106410939
106410939	BnaA03g47520D	transmembrane ascorbate ferrireductase 1	LOC106410939
106410945	BnaC07g32840D	"RNA-binding protein CP33, chloroplastic"	LOC106410945
106410953	BnaC03g21660D	probable histone H2A variant 2	LOC106410953
106410958	BnaCnng15830D	probable inactive leucine-rich repeat receptor-like protein kinase At3g03770	LOC106410958
106410983	BnaC07g42100D	spermidine coumaroyl-CoA acyltransferase	LOC106410983
106410984	BnaC07g50990D	uncharacterized BNAC07G50990D	BNAC07G50990D
106410992	BnaCnng15700D	DEAD-box ATP-dependent RNA helicase 30	LOC106410992
106410993	BnaCnng15710D	uncharacterized BNACNNG15710D	BNACNNG15710D
106410997	BnaCnng50450D	cytochrome P450 71B11	LOC106410997
106411001	BnaA06g36500D	VAN3-binding protein	LOC106411001
106411003	BnaC03g21430D	uncharacterized BNAC03G21430D	BNAC03G21430D
106411005	BnaC05g23660D	serine/threonine-protein kinase tricornered	LOC106411005
106411014	BnaC07g15380D	dehydrin ERD10-like	LOC106411014
106411021	BnaC07g13460D	cytochrome c	LOC106411021
106411021	BnaA07g10260D	cytochrome c	LOC106411021
106411024	BnaC08g10200D	BI1-like protein	LOC106411024
106411033	BnaC09g31840D	"dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex 1, mitochondrial-like"	LOC106411033
106411038	BnaC09g37220D	copper transporter 5	LOC106411038
106411044	BnaC07g32730D	3-ketoacyl-CoA synthase 15	LOC106411044
106411045	BnaC07g32720D	"uncharacterized protein At3g52155, chloroplastic"	BNAC07G32720D
106411053	BnaC07g49800D	protein COBRA	LOC106411053
106411062	BnaC04g31160D	kanadaptin	LOC106411062
106411063	BnaA02g22320D	"photosynthetic NDH subunit of subcomplex B 5, chloroplastic"	LOC106411063
106411079	BnaC07g50410D	importin-4	LOC106411079
106411080	BnaA09g26140D	"photosystem I reaction center subunit psaK, chloroplastic-like"	LOC106411080
106411080	BnaC05g23270D	"photosystem I reaction center subunit psaK, chloroplastic-like"	LOC106411080
106411089	BnaA01g27940D	transcription factor HY5-like	LOC106411089
106411091	BnaC07g13580D	"tetratricopeptide repeat domain-containing protein PYG7, chloroplastic"	BNAC07G13580D
106411096	BnaA06g40550D	developmentally-regulated G-protein 3	LOC106411096
106411100	BnaA01g27990D	"50S ribosomal protein L3-2, mitochondrial-like"	LOC106411100
106411125	BnaC03g72160D	probable galacturonosyltransferase 7	LOC106411125
106411128	BnaC07g15000D	protein RCC2	LOC106411128
106411139	BnaC07g40570D	V-type proton ATPase subunit e2-like	LOC106411139
106411139	BnaA03g48260D	V-type proton ATPase subunit e2-like	LOC106411139
106411140	BnaCnng15680D	uncharacterized BNACNNG15680D	BNACNNG15680D
106411145	BnaC05g23470D	homeobox-leucine zipper protein ATHB-9	LOC106411145
106411158	BnaCnng03150D	F-box/LRR-repeat protein At5g02910	LOC106411158
106411171	BnaC05g23650D	coatomer subunit epsilon-1	LOC106411171
106411172	BnaC07g48490D	auxin response factor 5	LOC106411172
106411178	BnaC05g23540D	WPP domain-associated protein-like	LOC106411178
106411209	BnaA05g13330D	membrane-associated progesterone-binding protein 4	LOC106411209
106411212	BnaA07g16150D	40S ribosomal protein S21-2	LOC106411212
106411212	BnaA09g54920D	40S ribosomal protein S21-2	LOC106411212
106411212	BnaC06g42550D	40S ribosomal protein S21-2	LOC106411212
106411212	BnaC08g24870D	40S ribosomal protein S21-2	LOC106411212
106411225	BnaC06g00560D	"magnesium dechelatase SGRL, chloroplastic"	LOC106411225
106411229	BnaCnng03260D	uncharacterized BNACNNG03260D	BNACNNG03260D
106411255	BnaC09g37240D	germin-like protein 1	LOC106411255
106411255	BnaA06g02110D	germin-like protein 1	LOC106411255
106411255	BnaA10g14870D	germin-like protein 1	LOC106411255
106411255	BnaA02g03840D	germin-like protein 1	LOC106411255
106411259	BnaA02g03630D	polcalcin Bra n 1	LOC106411259
106411259	BnaC02g44140D	polcalcin Bra n 1	LOC106411259
106411265	BnaC03g72230D	probable inactive lysine-specific demethylase JMJ19	LOC106411265
106411297	BnaA07g25060D	F-box protein At1g67340	LOC106411297
106411304	BnaCnng03040D	dnaJ protein P58IPK homolog	LOC106411304
106411309	BnaCnng14870D	RHOMBOID-like protein 2	LOC106411309
106411314	BnaC02g45210D	"protein TRIGALACTOSYLDIACYLGLYCEROL 3, chloroplastic"	LOC106411314
106411315	BnaC02g45220D	ycf20-like protein	LOC106411315
106411333	BnaCnng50090D	mediator of RNA polymerase II transcription subunit 30	LOC106411333
106411337	BnaC07g13550D	NAC domain-containing protein 13	LOC106411337
106411339	BnaC07g13560D	"ATP synthase subunit delta, chloroplastic"	LOC106411339
106411347	BnaC09g31460D	pyruvate decarboxylase 2	LOC106411347
106411349	BnaA02g24400D	"3-oxoacyl-[acyl-carrier-protein] synthase I, chloroplastic"	LOC106411349
106411350	BnaC03g75130D	uncharacterized BNAC03G75130D	BNAC03G75130D
106411360	BnaC09g37330D	PHD finger protein ALFIN-LIKE 5	LOC106411360
106411361	BnaC09g37340D	glutaredoxin-C4	LOC106411361
106411366	BnaC02g45230D	probable E3 ubiquitin-protein ligase ARI8	LOC106411366
106411407	BnaA03g54590D	14 kDa proline-rich protein DC2.15	LOC106411407
106411412	BnaA07g24510D	"ATP-dependent Clp protease adapter protein CLPS1, chloroplastic"	LOC106411412
106411413	BnaCnng32480D	GTPase LSG1-1-like	LOC106411413
106411423	BnaA02g22480D	glutathione gamma-glutamylcysteinyltransferase 1	LOC106411423
106411443	BnaCnng39690D	floral homeotic protein APETALA 2	LOC106411443
106411443	BnaCnng39690D	floral homeotic protein APETALA 2	APETALA2
106411461	BnaC07g31110D	probable leucine-rich repeat receptor-like protein kinase At1g35710	LOC106411461
106411462	BnaAnng27720D	extradiol ring-cleavage dioxygenase	LOC106411462
106411465	BnaC08g11160D	60S ribosomal protein L32-1	LOC106411465
106411465	BnaA08g08550D	60S ribosomal protein L32-1	LOC106411465
106411465	BnaA09g18000D	60S ribosomal protein L32-1	LOC106411465
106411465	BnaA03g43610D	60S ribosomal protein L32-1	LOC106411465
106411465	BnaC01g40830D	60S ribosomal protein L32-1	LOC106411465
106411465	BnaA01g08920D	60S ribosomal protein L32-1	LOC106411465
106411465	BnaC07g35100D	60S ribosomal protein L32-1	LOC106411465
106411466	BnaC08g14110D	LIM domain-containing protein WLIM1-like	LOC106411466
106411468	BnaC07g51340D	TLD domain-containing protein 2	LOC106411468
106411479	BnaC07g49280D	trichohyalin	BNAC07G49280D
106411485	BnaC09g36500D	zinc finger protein ZPR1	LOC106411485
106411488	BnaC05g23810D	CTP synthase	LOC106411488
106411497	BnaC07g46190D	HVA22-like protein k	LOC106411497
106411497	BnaC07g46190D	HVA22-like protein k	SCL1
106411504	BnaC03g21820D	probable acetyltransferase NATA1-like	LOC106411504
106411507	BnaC09g19370D	60S ribosomal protein L32-1	LOC106411507
106411507	BnaA06g35970D	60S ribosomal protein L32-1	LOC106411507
106411507	BnaC07g19160D	60S ribosomal protein L32-1	LOC106411507
106411530	BnaC05g23190D	putative hydrolase C777.06c	LOC106411530
106411534	BnaC06g05060D	uncharacterized BNAC06G05060D	BNAC07G41170D
106411534	BnaC06g05060D	uncharacterized BNAC06G05060D	BNAC06G05060D
106411534	BnaC07g41170D	uncharacterized BNAC06G05060D	BNAC07G41170D
106411534	BnaC07g41170D	uncharacterized BNAC06G05060D	BNAC06G05060D
106411536	BnaC05g44780D	FHA domain-containing protein FHA2	LOC106411536
106411542	BnaC04g19890D	14 kDa proline-rich protein DC2.15	LOC106411542
106411563	BnaAnng21990D	uncharacterized BNACNNG33890D	BNACNNG33890D
106411563	BnaCnng33890D	uncharacterized BNACNNG33890D	BNACNNG33890D
106411563	BnaAnng21980D	uncharacterized BNACNNG33890D	BNACNNG33890D
106411570	BnaC08g47330D	serine/threonine-protein kinase BLUS1	LOC106411570
106411574	BnaC08g40060D	uncharacterized BNAC08G40060D	BNAC08G40060D
106411581	BnaC08g40980D	serine/threonine-protein kinase PEPKR2	LOC106411581
106411590	BnaC08g40690D	proteasome subunit beta type-5-B	LOC106411590
106411591	BnaCnng52870D	"protein TRIGALACTOSYLDIACYLGLYCEROL 1, chloroplastic"	LOC106411591
106411597	BnaA09g35240D	eukaryotic translation initiation factor 6-2	LOC106411597
106411609	BnaA09g38620D	vesicle-associated protein 1-1	LOC106411609
106411616	BnaA09g39000D	(+)-neomenthol dehydrogenase	LOC106411616
106411617	BnaA09g39010D	LIM domain-containing protein PLIM2c	LOC106411617
106411618	BnaAnng08140D	40S ribosomal protein S20-1	LOC106411618
106411630	BnaA08g29090D	40S ribosomal protein S15a-like	LOC106411630
106411630	BnaA08g29090D	40S ribosomal protein S15a-like	PPCB8
106411630	BnaA08g29090D	40S ribosomal protein S15a-like	RPS15A
106411630	BnaCnng37690D	40S ribosomal protein S15a-like	LOC106411630
106411630	BnaCnng37690D	40S ribosomal protein S15a-like	PPCB8
106411630	BnaCnng37690D	40S ribosomal protein S15a-like	RPS15A
106411630	BnaC03g11550D	40S ribosomal protein S15a-like	LOC106411630
106411630	BnaC03g11550D	40S ribosomal protein S15a-like	PPCB8
106411630	BnaC03g11550D	40S ribosomal protein S15a-like	RPS15A
106411630	BnaA10g12820D	40S ribosomal protein S15a-like	LOC106411630
106411630	BnaA10g12820D	40S ribosomal protein S15a-like	PPCB8
106411630	BnaA10g12820D	40S ribosomal protein S15a-like	RPS15A
106411630	BnaA06g04200D	40S ribosomal protein S15a-like	LOC106411630
106411630	BnaA06g04200D	40S ribosomal protein S15a-like	PPCB8
106411630	BnaA06g04200D	40S ribosomal protein S15a-like	RPS15A
106411630	BnaC05g05370D	40S ribosomal protein S15a-like	LOC106411630
106411630	BnaC05g05370D	40S ribosomal protein S15a-like	PPCB8
106411630	BnaC05g05370D	40S ribosomal protein S15a-like	RPS15A
106411630	BnaA02g06730D	40S ribosomal protein S15a-like	LOC106411630
106411630	BnaA02g06730D	40S ribosomal protein S15a-like	PPCB8
106411630	BnaA02g06730D	40S ribosomal protein S15a-like	RPS15A
106411630	BnaC09g35210D	40S ribosomal protein S15a-like	LOC106411630
106411630	BnaC09g35210D	40S ribosomal protein S15a-like	PPCB8
106411630	BnaC09g35210D	40S ribosomal protein S15a-like	RPS15A
106411638	BnaA09g41590D	transmembrane 9 superfamily member 10	LOC106411638
106411638	BnaC08g34160D	transmembrane 9 superfamily member 10	LOC106411638
106411650	BnaA09g35160D	nucleolar complex-associated protein 2	LOC106411650
106411655	BnaCnng11710D	protein RRP6-like 1	LOC106411655
106411656	BnaA09g39030D	transcription factor MYB17	LOC106411656
106411657	BnaA09g39040D	uncharacterized protein At3g61260	BNAA09G39040D
106411668	BnaC07g50200D	60S ribosomal protein L11-2	LOC106411668
106411674	BnaAnng27580D	autophagy-related protein 8f	LOC106411674
106411675	BnaA09g34900D	60S ribosomal protein L23a-2	LOC106411675
106411680	BnaC06g07640D	uncharacterized BNAC06G07640D	BNAC06G07640D
106411695	BnaA09g35130D	FBD-associated F-box protein At4g10400	LOC106411695
106411698	BnaCnng54570D	syntaxin-32	LOC106411698
106411699	BnaCnng62150D	cysteine proteinase inhibitor 4	LOC106411699
106411703	BnaA10g12790D	ras-related protein RABE1c	LOC106411703
106411716	BnaCnng47000D	probable xyloglucan galactosyltransferase GT14	LOC106411716
106411727	BnaC08g41150D	"copper chaperone for superoxide dismutase, chloroplastic/cytosolic"	LOC106411727
106411728	BnaC08g41140D	uncharacterized BNAC08G41140D	BNAC08G41140D
106411732	BnaC04g01120D	arabinogalactan protein 16	LOC106411732
106411732	BnaA05g01480D	arabinogalactan protein 16	LOC106411732
106411739	BnaC05g27640D	calcium-dependent protein kinase 11	LOC106411739
106411739	BnaC05g27640D	calcium-dependent protein kinase 11	CPK11.1
106411777	BnaC08g48000D	uncharacterized BNAC08G48000D	BNAC08G48000D
106411778	BnaC08g47990D	protein GOLVEN 1	LOC106411778
106411784	BnaA07g36910D	IST1 homolog	LOC106411784
106411786	BnaA02g11200D	peroxidase 66	LOC106411786
106411788	BnaC02g44320D	histone H4	LOC106411788
106411788	BnaA04g16620D	histone H4	LOC106411788
106411788	BnaA03g09320D	histone H4	LOC106411788
106411788	BnaC04g39990D	histone H4	LOC106411788
106411788	BnaC05g05500D	histone H4	LOC106411788
106411788	BnaA07g14090D	histone H4	LOC106411788
106411788	BnaC08g02310D	histone H4	LOC106411788
106411788	BnaAnng15490D	histone H4	LOC106411788
106411788	BnaA09g49230D	histone H4	LOC106411788
106411788	BnaA09g33930D	histone H4	LOC106411788
106411788	BnaA06g18260D	histone H4	LOC106411788
106411788	BnaC03g11650D	histone H4	LOC106411788
106411788	BnaC06g37340D	histone H4	LOC106411788
106411788	BnaA03g17280D	histone H4	LOC106411788
106411788	BnaA06g04320D	histone H4	LOC106411788
106411788	BnaC08g43530D	histone H4	LOC106411788
106411788	BnaA06g04180D	histone H4	LOC106411788
106411788	BnaA05g06970D	histone H4	LOC106411788
106411788	BnaA03g22040D	histone H4	LOC106411788
106411788	BnaC03g20760D	histone H4	LOC106411788
106411788	BnaA04g21530D	histone H4	LOC106411788
106411788	BnaC03g26410D	histone H4	LOC106411788
106411788	BnaC03g55650D	histone H4	LOC106411788
106411788	BnaA02g06910D	histone H4	LOC106411788
106411788	BnaCnng67420D	histone H4	LOC106411788
106411788	BnaC04g15470D	histone H4	LOC106411788
106411793	BnaA05g27340D	dihydroneopterin aldolase 1	LOC106411793
106411814	BnaA09g56160D	protein FAM32A	LOC106411814
106411821	BnaC09g00970D	cell division cycle protein 123 homolog	LOC106411821
106411823	BnaC04g08700D	60S ribosomal protein L24-1	LOC106411823
106411824	BnaC08g46010D	protein MRG2	LOC106411824
106411825	BnaCnng42870D	cyclin-dependent kinase inhibitor 1	LOC106411825
106411828	BnaA02g06730D	40S ribosomal protein S15a	LOC106411828
106411828	BnaCnng37690D	40S ribosomal protein S15a	LOC106411828
106411828	BnaA10g12820D	40S ribosomal protein S15a	LOC106411828
106411828	BnaC03g11550D	40S ribosomal protein S15a	LOC106411828
106411828	BnaA08g29090D	40S ribosomal protein S15a	LOC106411828
106411828	BnaC05g05370D	40S ribosomal protein S15a	LOC106411828
106411828	BnaA06g04200D	40S ribosomal protein S15a	LOC106411828
106411828	BnaC09g35210D	40S ribosomal protein S15a	LOC106411828
106411854	BnaCnng30060D	patatin-like phospholipase domain-containing protein 4	LOC106411854
106411856	BnaCnng30070D	"protein FATTY ACID EXPORT 4, chloroplastic"	LOC106411856
106411859	BnaA10g29610D	uncharacterized BNAA10G29610D	BNAA10G29610D
106411863	BnaC05g15270D	protein YeeZ	LOC106411863
106411865	BnaA05g13430D	ubiquitin-conjugating enzyme E2 variant 1D	LOC106411865
106411873	BnaC08g41550D	uncharacterized BNAC08G41550D	BNAC08G41550D
106411876	BnaA08g04900D	EPIDERMAL PATTERNING FACTOR-like protein 9	LOC106411876
106411886	BnaC08g10760D	serine/arginine repetitive matrix protein 1	LOC106411886
106411904	BnaA09g38730D	40S ribosomal protein S13-2	LOC106411904
106411904	BnaA07g18810D	40S ribosomal protein S13-2	LOC106411904
106411904	BnaC04g22000D	40S ribosomal protein S13-2	LOC106411904
106411905	BnaC08g15150D	25.3 kDa vesicle transport protein	LOC106411905
106411905	BnaA08g25060D	25.3 kDa vesicle transport protein	LOC106411905
106411918	BnaC03g11650D	histone H4	LOC106411918
106411918	BnaA04g16620D	histone H4	LOC106411918
106411918	BnaA03g09320D	histone H4	LOC106411918
106411918	BnaA05g06970D	histone H4	LOC106411918
106411918	BnaA06g04180D	histone H4	LOC106411918
106411918	BnaC04g15470D	histone H4	LOC106411918
106411918	BnaC08g43530D	histone H4	LOC106411918
106411918	BnaAnng15490D	histone H4	LOC106411918
106411918	BnaC03g55650D	histone H4	LOC106411918
106411918	BnaA06g04320D	histone H4	LOC106411918
106411918	BnaA04g21530D	histone H4	LOC106411918
106411918	BnaA03g22040D	histone H4	LOC106411918
106411918	BnaC04g39990D	histone H4	LOC106411918
106411918	BnaC05g05500D	histone H4	LOC106411918
106411918	BnaC02g44320D	histone H4	LOC106411918
106411918	BnaA02g06910D	histone H4	LOC106411918
106411918	BnaA06g18260D	histone H4	LOC106411918
106411918	BnaA03g17280D	histone H4	LOC106411918
106411918	BnaA09g33930D	histone H4	LOC106411918
106411918	BnaC06g37340D	histone H4	LOC106411918
106411918	BnaA07g14090D	histone H4	LOC106411918
106411918	BnaA09g49230D	histone H4	LOC106411918
106411918	BnaC08g02310D	histone H4	LOC106411918
106411918	BnaC03g20760D	histone H4	LOC106411918
106411918	BnaCnng67420D	histone H4	LOC106411918
106411918	BnaC03g26410D	histone H4	LOC106411918
106411925	BnaC09g35230D	probable histone H2A.7	LOC106411925
106411925	BnaA10g12840D	probable histone H2A.7	LOC106411925
106411933	BnaA09g54980D	uncharacterized LOC106411933	LOC106411933
106411939	BnaC08g40260D	ceramide synthase 1 LOH3	LOC106411939
106411942	BnaC08g41320D	probable calcium-binding protein CML13	LOC106411942
106411950	BnaA09g47540D	alpha-ketoglutarate-dependent dioxygenase alkB	LOC106411950
106411952	BnaA09g35150D	expansin-A16	LOC106411952
106411957	BnaA10g08890D	ras-related protein RABC1	LOC106411957
106411967	BnaC04g01110D	mitochondrial carrier protein MTM1	LOC106411967
106411968	BnaA07g03510D	farnesoic acid carboxyl-O-methyltransferase	LOC106411968
106411973	BnaA09g38990D	putative methyltransferase DDB_G0268948	LOC106411973
106411975	BnaA06g38050D	probable galacturonosyltransferase-like 3	LOC106411975
106411977	BnaCnng69720D	phytolongin Phyl1.2	LOC106411977
106411977	BnaC06g07620D	phytolongin Phyl1.2	LOC106411977
106411989	BnaAnng19680D	protein GET1	LOC106411989
106411989	BnaC08g47820D	protein GET1	LOC106411989
106412000	BnaA09g38730D	40S ribosomal protein S13-2	LOC106412000
106412000	BnaC04g22000D	40S ribosomal protein S13-2	LOC106412000
106412000	BnaA07g18810D	40S ribosomal protein S13-2	LOC106412000
106412002	BnaA05g27090D	serine/arginine-rich SC35-like splicing factor SCL30A	LOC106412002
106412007	BnaA08g13990D	E3 ubiquitin-protein ligase SINAT4	LOC106412007
106412021	BnaC04g32800D	cystinosin homolog	LOC106412021
106412030	BnaC08g09750D	DNA-directed RNA polymerase V subunit 7	LOC106412030
106412030	BnaA08g29450D	DNA-directed RNA polymerase V subunit 7	LOC106412030
106412042	BnaCnng25440D	"serine acetyltransferase 1, chloroplastic"	LOC106412042
106412056	BnaC08g49970D	lipase	LOC106412056
106412060	BnaA01g13500D	uncharacterized BNAA01G13500D	BNAA01G13500D
106412071	BnaA05g13440D	pentatricopeptide repeat-containing protein At2g33760	LOC106412071
106412089	BnaA09g35050D	16 kDa phloem protein 1	LOC106412089
106412089	BnaC08g26300D	16 kDa phloem protein 1	LOC106412089
106412093	BnaA09g55070D	AT-hook motif nuclear-localized protein 15	LOC106412093
106412108	BnaA09g56780D	TSET complex member tstD	LOC106412108
106412108	BnaC08g49590D	TSET complex member tstD	LOC106412108
106412108	BnaA06g10050D	TSET complex member tstD	LOC106412108
106412117	BnaAnng41370D	uncharacterized BNAANNG41370D	BNAANNG41370D
106412121	BnaC08g10420D	60S ribosome subunit biogenesis protein NIP7 homolog	LOC106412121
106412128	BnaC06g40720D	F-box protein PP2-B11	LOC106412128
106412144	BnaA09g55030D	probable cysteine protease RD19D	LOC106412144
106412148	BnaC08g41500D	flavin-containing monooxygenase FMO GS-OX-like 2	LOC106412148
106412179	BnaA10g12780D	zinc finger protein ZAT12	ZF1
106412179	BnaA10g12780D	zinc finger protein ZAT12	LOC106412179
106412181	BnaA08g05320D	bet1-like SNARE 1-2	LOC106412181
106412202	BnaA02g17510D	defensin-like protein 3	LOC106412202
106412202	BnaC02g23410D	defensin-like protein 3	LOC106412202
106412206	BnaA07g37200D	mRNA turnover protein 4 homolog	LOC106412206
106412208	BnaA09g55000D	uncharacterized BNAA09G55000D	BNAA09G55000D
106412209	BnaC08g42220D	probable receptor-like protein kinase At1g11050	LOC106412209
106412215	BnaA09g35220D	uncharacterized BNAA09G35220D	BNAA09G35220D
106412223	BnaC04g32910D	uncharacterized BNAC04G32910D	BNAC04G32910D
106412227	BnaC08g45960D	uncharacterized BNAC08G45960D	BNAC08G45960D
106412230	BnaC04g23420D	probable WRKY transcription factor 69	LOC106412230
106412230	BnaC04g23420D	probable WRKY transcription factor 69	WRKY69.2
106412247	BnaA05g13480D	renalase	BNAA05G13480D
106412248	BnaC04g00610D	transcription factor bHLH70	BnabHLH185
106412248	BnaC04g00610D	transcription factor bHLH70	LOC106412248
106412275	BnaC08g41640D	glycosyltransferase BC10	BNAC08G41640D
106412276	BnaC08g41650D	stigma-specific STIG1-like protein 3	LOC106412276
106412278	BnaC08g41620D	1-aminocyclopropane-1-carboxylate oxidase 3	LOC106412278
106412323	BnaA09g35210D	ultraviolet-B receptor UVR8	LOC106412323
106412340	BnaC08g08330D	"pentatricopeptide repeat-containing protein At4g14050, mitochondrial"	LOC106412340
106412411	BnaC08g08220D	zinc finger protein ZPR1	LOC106412411
106412413	BnaC08g08140D	chromosome-associated kinesin KIF4	LOC106412413
106412418	BnaA05g13520D	"pentatricopeptide repeat-containing protein At1g55890, mitochondrial-like"	LOC106412418
106412422	BnaA01g13620D	probable lysophospholipase BODYGUARD 3	BNAA01G13620D
106412441	BnaA09g39070D	O-glucosyltransferase rumi homolog	LOC106412441
106412466	BnaC08g45940D	E3 ubiquitin-protein ligase BAH1	LOC106412466
106412497	BnaC04g01160D	uncharacterized BNAC04G01160D	BNAC04G01160D
106412547	BnaC08g40810D	plant intracellular Ras-group-related LRR protein 3	LOC106412547
106412651	BnaA09g38480D	ras-related protein RABA5c-like	LOC106412651
106412662	BnaA08g14190D	"fatty acid desaturase 4, chloroplastic"	LOC106412662
106412764	BnaA05g27070D	protein DOWN-REGULATED IN DIF1 11	BNAA05G27070D
106412766	BnaA05g27290D	agamous-like MADS-box protein AP1	LOC106412766
106412919	BnaC09g29010D	plastidial pyruvate kinase 2	LOC106412919
106412934	BnaC03g15620D	protein 108	LOC106412934
106412940	BnaC04g08710D	homeobox-leucine zipper protein ATHB-22	LOC106412940
106412961	BnaC05g06940D	uncharacterized BNAC05G06940D	BNAC05G06940D
106412961	BnaC05g06940D	uncharacterized BNAC05G06940D	BNACNNG77430D
106412961	BnaCnng77430D	uncharacterized BNAC05G06940D	BNAC05G06940D
106412961	BnaCnng77430D	uncharacterized BNAC05G06940D	BNACNNG77430D
106412994	BnaC09g29020D	uncharacterized BNAC09G29020D	BNAC09G29020D
106413037	BnaCnng35460D	uncharacterized BNACNNG35460D	BNACNNG35460D
