"ENTREZID" "GO" "ONTOLOGY" "GENENAME" "GOTERM" "external_gene_name" "Description_NCBI" "ALIAS"
"106399422" "GO:0006366" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "transcription by RNA polymerase II" "BnaC08g14950D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106399422"
"106399422" "GO:0042797" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "tRNA transcription by RNA polymerase III" "BnaA08g25270D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106399422"
"106399422" "GO:0042797" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "tRNA transcription by RNA polymerase III" "BnaC08g14950D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106399422"
"106399422" "GO:0006351" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "DNA-templated transcription" "BnaA08g25270D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106399422"
"106399422" "GO:0006351" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "DNA-templated transcription" "BnaC08g14950D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106399422"
"106399422" "GO:0006360" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "transcription by RNA polymerase I" "BnaA08g25270D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106399422"
"106399422" "GO:0006360" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "transcription by RNA polymerase I" "BnaC08g14950D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106399422"
"106399422" "GO:0006366" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "transcription by RNA polymerase II" "BnaA08g25270D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106399422"
"106399422" "GO:0006366" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "transcription by RNA polymerase II" "BnaC08g14950D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106399422"
"106399422" "GO:0042797" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "tRNA transcription by RNA polymerase III" "BnaA08g25270D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106399422"
"106399422" "GO:0042797" "BP" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "tRNA transcription by RNA polymerase III" "BnaC08g14950D" "DNA-directed RNA polymerases I, II, and III subunit RPABC5" "LOC106399422"
"106399452" "GO:0009733" "BP" "auxin-responsive protein SAUR72" "response to auxin" "BnaCnng63120D" "auxin-responsive protein SAUR72" "LOC106399452"
"106399467" NA NA NA NA "BnaC03g73700D" "uncharacterized BNAC03G73700D" "BNAC03G73700D"
"106399741" NA NA NA NA "BnaC05g09290D" "uncharacterized BNAC05G09290D" "BNAC05G09290D"
"106399997" "GO:0006351" "BP" "protein DELAY OF GERMINATION 1" "DNA-templated transcription" "BnaC05g38650D" "protein DELAY OF GERMINATION 1" "BNACNNG70220D"
"106399997" "GO:0006351" "BP" "protein DELAY OF GERMINATION 1" "DNA-templated transcription" "BnaC05g38650D" "protein DELAY OF GERMINATION 1" "BNAC05G38650D"
"106399997" "GO:0006351" "BP" "protein DELAY OF GERMINATION 1" "DNA-templated transcription" "BnaC05g38650D" "protein DELAY OF GERMINATION 1" "BNACNNG70220D"
"106399997" "GO:0006351" "BP" "protein DELAY OF GERMINATION 1" "DNA-templated transcription" "BnaC05g38650D" "protein DELAY OF GERMINATION 1" "BNAC05G38650D"
"106400031" NA NA NA NA "BnaC03g11650D" "histone H4" "LOC106400031"
"106400031" NA NA NA NA "BnaA04g16620D" "histone H4" "LOC106400031"
"106400031" NA NA NA NA "BnaA03g09320D" "histone H4" "LOC106400031"
"106400031" NA NA NA NA "BnaA04g21530D" "histone H4" "LOC106400031"
"106400031" NA NA NA NA "BnaA06g04320D" "histone H4" "LOC106400031"
"106400051" NA NA NA NA "BnaA01g08450D" "uncharacterized protein At4g28440" "BNAA01G08450D"
"106400055" NA NA NA NA "BnaA09g02100D" "LOB domain-containing protein 25" "LOC106400055"
"106400210" NA NA NA NA "BnaC06g18410D" "pectinesterase 5" "LOC106400210"
"106400412" NA NA NA NA "BnaCnng63630D" "uncharacterized LOC106400412" "LOC106400412"
"106400464" "GO:0006813" "BP" "cation/H(+) antiporter 21" "potassium ion transport" "BnaCnng39520D" "cation/H(+) antiporter 21" "LOC106400464"
"106400464" "GO:0006885" "BP" "cation/H(+) antiporter 21" "regulation of pH" "BnaCnng39520D" "cation/H(+) antiporter 21" "LOC106400464"
"106400464" "GO:0006814" "BP" "cation/H(+) antiporter 21" "sodium ion transport" "BnaCnng39520D" "cation/H(+) antiporter 21" "LOC106400464"
"106400541" "GO:0002181" "BP" "60S ribosomal protein L29-1" "cytoplasmic translation" "BnaA01g32660D" "60S ribosomal protein L29-1" "LOC106400541"
"106400541" "GO:0002181" "BP" "60S ribosomal protein L29-1" "cytoplasmic translation" "BnaA05g30690D" "60S ribosomal protein L29-1" "LOC106400541"
"106400541" "GO:0002181" "BP" "60S ribosomal protein L29-1" "cytoplasmic translation" "BnaA01g32660D" "60S ribosomal protein L29-1" "LOC106400541"
"106400541" "GO:0002181" "BP" "60S ribosomal protein L29-1" "cytoplasmic translation" "BnaA05g30690D" "60S ribosomal protein L29-1" "LOC106400541"
"106400646" "GO:0015979" "BP" "oxygen-evolving enhancer protein 2, chloroplastic" "photosynthesis" "BnaC05g04590D" "oxygen-evolving enhancer protein 2, chloroplastic" "LOC106400646"
"106400894" "GO:0010143" "BP" "glycerol-3-phosphate acyltransferase 1" "cutin biosynthetic process" "BnaC05g04490D" "glycerol-3-phosphate acyltransferase 1" "LOC106400894"
"106401115" NA NA NA NA "BnaA09g47340D" "flavin-containing monooxygenase FMO GS-OX-like 2" "LOC106401115"
"106401236" "GO:0009738" "BP" "protein C2-DOMAIN ABA-RELATED 10" "abscisic acid-activated signaling pathway" "BnaA02g25740D" "protein C2-DOMAIN ABA-RELATED 10" "LOC106401236"
"106401267" "GO:0043066" "BP" "huntingtin-interacting protein K-like" "negative regulation of apoptotic process" "BnaA05g30770D" "huntingtin-interacting protein K-like" "LOC106401267"
"106401267" "GO:0050821" "BP" "huntingtin-interacting protein K-like" "protein stabilization" "BnaA05g30770D" "huntingtin-interacting protein K-like" "LOC106401267"
"106401405" "GO:0009734" "BP" "protein PIN-LIKES 5" "auxin-activated signaling pathway" "BnaC09g09390D" "protein PIN-LIKES 5" "BNAC09G09390D"
"106401405" "GO:0080162" "BP" "protein PIN-LIKES 5" "endoplasmic reticulum to cytosol auxin transport" "BnaC09g09390D" "protein PIN-LIKES 5" "BNAC09G09390D"
"106401515" NA NA NA NA "BnaC09g13030D" "non-specific lipid transfer protein GPI-anchored 7" "LOC106401515"
"106401521" "GO:0015979" "BP" "photosystem I reaction center subunit VI-1, chloroplastic" "photosynthesis" "BnaC05g37250D" "photosystem I reaction center subunit VI-1, chloroplastic" "LOC106401521"
"106401732" "GO:0060255" "BP" "zinc finger CCCH domain-containing protein 29" "regulation of macromolecule metabolic process" "BnaCnng27960D" "zinc finger CCCH domain-containing protein 29" "LOC106401732"
"106401732" "GO:0051171" "BP" "zinc finger CCCH domain-containing protein 29" "regulation of nitrogen compound metabolic process" "BnaCnng27960D" "zinc finger CCCH domain-containing protein 29" "LOC106401732"
"106401732" "GO:0080090" "BP" "zinc finger CCCH domain-containing protein 29" "regulation of primary metabolic process" "BnaCnng27960D" "zinc finger CCCH domain-containing protein 29" "LOC106401732"
"106401794" "GO:0071702" "BP" "nucleobase-ascorbate transporter 6" "organic substance transport" "BnaC09g50870D" "nucleobase-ascorbate transporter 6" "LOC106401794"
"106401807" NA NA NA NA "BnaC01g14990D" "short-chain dehydrogenase TIC 32, chloroplastic" "LOC106401807"
"106401889" "GO:0009653" "BP" "expansin-A5" "anatomical structure morphogenesis" "BnaCnng51340D" "expansin-A5" "LOC106401889"
"106401889" "GO:0009664" "BP" "expansin-A5" "plant-type cell wall organization" "BnaCnng51340D" "expansin-A5" "LOC106401889"
"106401939" NA NA NA NA "BnaA02g28770D" "TLC domain-containing protein At5g14285" "BNAA02G28770D"
"106401977" "GO:0008299" "BP" "geranylgeranyl pyrophosphate synthase 10, mitochondrial" "isoprenoid biosynthetic process" "BnaC05g31920D" "geranylgeranyl pyrophosphate synthase 10, mitochondrial" "LOC106401977"
"106401983" "GO:0010497" "BP" "germin-like protein subfamily 2 member 2" "plasmodesmata-mediated intercellular transport" "BnaC05g01100D" "germin-like protein subfamily 2 member 2" "LOC106401983"
"106401983" "GO:2000280" "BP" "germin-like protein subfamily 2 member 2" "regulation of root development" "BnaC05g01100D" "germin-like protein subfamily 2 member 2" "LOC106401983"
"106401984" "GO:0006749" "BP" "glutathione S-transferase F3-like" "glutathione metabolic process" "BnaCnng47740D" "glutathione S-transferase F3-like" "LOC106401984"
"106401984" "GO:0042221" "BP" "glutathione S-transferase F3-like" "response to chemical" "BnaCnng47740D" "glutathione S-transferase F3-like" "LOC106401984"
"106401992" NA NA NA NA "BnaA10g09900D" "chitin-binding lectin 1-like" "LOC106401992"
"106402069" "GO:0001731" "BP" "eukaryotic translation initiation factor 2 subunit gamma-like" "formation of translation preinitiation complex" "BnaA10g02410D" "eukaryotic translation initiation factor 2 subunit gamma-like" "LOC106402069"
"106402069" "GO:0045903" "BP" "eukaryotic translation initiation factor 2 subunit gamma-like" "positive regulation of translational fidelity" "BnaA10g02410D" "eukaryotic translation initiation factor 2 subunit gamma-like" "LOC106402069"
"106402158" NA NA NA NA "BnaCnng68480D" "uncharacterized BNACNNG68480D" "BNACNNG68480D"
"106402386" NA NA NA NA "BnaCnng25770D" "sugar transport protein 9" "LOC106402386"
"106402456" NA NA NA NA "BnaA10g21880D" "histone H3.2" "LOC106402456"
"106402456" NA NA NA NA "BnaC09g46270D" "histone H3.2" "LOC106402456"
"106402499" NA NA NA NA "BnaC06g32180D" "myb-related protein 308" "LOC106402499"
"106402499" NA NA NA NA "BnaC06g32180D" "myb-related protein 308" "MYBL2-1"
"106402530" "GO:0022414" "BP" "oleosin 14.9 kDa" "reproductive process" "BnaA10g05760D" "oleosin 14.9 kDa" "LOC106402530"
"106402530" "GO:0022414" "BP" "oleosin 14.9 kDa" "reproductive process" "BnaA10g05760D" "oleosin 14.9 kDa" "S5"
"106402530" "GO:0022414" "BP" "oleosin 14.9 kDa" "reproductive process" "BnaA10g05760D" "oleosin 14.9 kDa" "LOC106402530"
"106402530" "GO:0022414" "BP" "oleosin 14.9 kDa" "reproductive process" "BnaA10g05760D" "oleosin 14.9 kDa" "S5"
"106402543" "GO:0006465" "BP" "signal peptidase complex catalytic subunit SEC11C-like" "signal peptide processing" "BnaA06g01890D" "signal peptidase complex catalytic subunit SEC11C-like" "LOC106402543"
"106402597" NA NA NA NA "BnaA05g13800D" "arabinogalactan protein 21" "LOC106402597"
"106402597" NA NA NA NA "BnaC06g10890D" "arabinogalactan protein 21" "LOC106402597"
"106402718" NA NA NA NA "BnaC08g04570D" "uncharacterized BNAA08G03880D" "BNAC08G04570D"
"106402718" NA NA NA NA "BnaC08g04570D" "uncharacterized BNAA08G03880D" "BNAA08G03880D"
"106402718" NA NA NA NA "BnaA08g03880D" "uncharacterized BNAA08G03880D" "BNAA08G03880D"
"106402718" NA NA NA NA "BnaA08g03880D" "uncharacterized BNAA08G03880D" "BNAC08G04570D"
"106402793" NA NA NA NA "BnaC06g05210D" "jacalin-related lectin 15" "LOC106402793"
"106402852" "GO:0006486" "BP" "probable xyloglucan galactosyltransferase GT17" "protein glycosylation" "BnaC06g30040D" "probable xyloglucan galactosyltransferase GT17" "LOC106402852"
"106402925" NA NA NA NA "BnaA03g09320D" "histone H4" "LOC106402925"
"106402925" NA NA NA NA "BnaA04g16620D" "histone H4" "LOC106402925"
"106402925" NA NA NA NA "BnaA04g21530D" "histone H4" "LOC106402925"
"106402925" NA NA NA NA "BnaA06g04320D" "histone H4" "LOC106402925"
"106402925" NA NA NA NA "BnaC03g11650D" "histone H4" "LOC106402925"
"106403002" "GO:0006085" "BP" "ATP-citrate synthase beta chain protein 2" "acetyl-CoA biosynthetic process" "BnaA02g30820D" "ATP-citrate synthase beta chain protein 2" "LOC106403002"
"106403002" "GO:0006633" "BP" "ATP-citrate synthase beta chain protein 2" "fatty acid biosynthetic process" "BnaA02g30820D" "ATP-citrate synthase beta chain protein 2" "LOC106403002"
"106403048" NA NA NA NA "BnaC06g23700D" "kunitz trypsin inhibitor 4-like" "LOC106403048"
"106403053" NA NA NA NA "BnaA02g30680D" "proline-rich antigen homolog" "LOC106403053"
"106403191" "GO:0006833" "BP" "aquaporin TIP3-1-like" "water transport" "BnaA07g22790D" "aquaporin TIP3-1-like" "LOC106403191"
"106403191" "GO:0006833" "BP" "aquaporin TIP3-1-like" "water transport" "BnaC06g23750D" "aquaporin TIP3-1-like" "LOC106403191"
"106403191" "GO:0006833" "BP" "aquaporin TIP3-1-like" "water transport" "BnaA07g22790D" "aquaporin TIP3-1-like" "LOC106403191"
"106403191" "GO:0006833" "BP" "aquaporin TIP3-1-like" "water transport" "BnaC06g23750D" "aquaporin TIP3-1-like" "LOC106403191"
"106403212" NA NA NA NA "BnaA02g30450D" "protein SULFUR DEFICIENCY-INDUCED 1" "LOC106403212"
"106403808" "GO:0007165" "BP" "serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B'" "signal transduction" "BnaC02g48620D" "serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B'" "LOC106403808"
"106404496" NA NA NA NA "BnaC09g46270D" "histone H3-like centromeric protein CSE4" "LOC106404496"
"106404496" NA NA NA NA "BnaA10g21880D" "histone H3-like centromeric protein CSE4" "LOC106404496"
"106404605" NA NA NA NA "BnaC08g45520D" "uncharacterized BNAC08G45520D" "BNAC08G45520D"
"106404635" "GO:0043086" "BP" "pectinesterase inhibitor 10" "negative regulation of catalytic activity" "BnaC09g20800D" "pectinesterase inhibitor 10" "LOC106404635"
"106404655" NA NA NA NA "BnaC06g01680D" "nucleolar transcription factor 1" "BNAC06G01680D"
"106404720" NA NA NA NA "BnaA09g06220D" "uncharacterized LOC106404720" "LOC106404720"
"106404745" "GO:0071702" "BP" "nucleobase-ascorbate transporter 1" "organic substance transport" "BnaC07g04170D" "nucleobase-ascorbate transporter 1" "LOC106404745"
"106404891" NA NA NA NA "BnaC06g12850D" "WAT1-related protein At5g40240-like" "LOC106404891"
"106404985" "GO:0006310" "BP" "uncharacterized LOC106404985" "DNA recombination" "BnaCnng56390D" "uncharacterized LOC106404985" "LOC106404985"
"106404985" "GO:0006281" "BP" "uncharacterized LOC106404985" "DNA repair" "BnaCnng56390D" "uncharacterized LOC106404985" "LOC106404985"
"106404985" "GO:0006260" "BP" "uncharacterized LOC106404985" "DNA replication" "BnaCnng56390D" "uncharacterized LOC106404985" "LOC106404985"
"106405243" NA NA NA NA "BnaAnng33390D" "uncharacterized LOC106405243" "LOC106405243"
"106405275" "GO:0008643" "BP" "bidirectional sugar transporter SWEET8" "carbohydrate transport" "BnaC04g32240D" "bidirectional sugar transporter SWEET8" "LOC106405275"
"106405486" "GO:0006281" "BP" "ubiquitin-conjugating enzyme E2 3" "DNA repair" "BnaA02g33480D" "ubiquitin-conjugating enzyme E2 3" "LOC106405486"
"106405486" "GO:0016574" "BP" "ubiquitin-conjugating enzyme E2 3" "histone ubiquitination" "BnaA02g33480D" "ubiquitin-conjugating enzyme E2 3" "LOC106405486"
"106405486" "GO:0043161" "BP" "ubiquitin-conjugating enzyme E2 3" "proteasome-mediated ubiquitin-dependent protein catabolic process" "BnaA02g33480D" "ubiquitin-conjugating enzyme E2 3" "LOC106405486"
"106405486" "GO:0000209" "BP" "ubiquitin-conjugating enzyme E2 3" "protein polyubiquitination" "BnaA02g33480D" "ubiquitin-conjugating enzyme E2 3" "LOC106405486"
"106405933" "GO:0006508" "BP" "serine carboxypeptidase-like 35" "proteolysis" "BnaC09g47650D" "serine carboxypeptidase-like 35" "LOC106405933"
"106405943" NA NA NA NA "BnaCnng61150D" "uncharacterized BNACNNG61150D" "BNACNNG61150D"
"106405976" NA NA NA NA "BnaA03g09320D" "histone H4" "LOC106405976"
"106405976" NA NA NA NA "BnaA06g04320D" "histone H4" "LOC106405976"
"106405976" NA NA NA NA "BnaA04g21530D" "histone H4" "LOC106405976"
"106405976" NA NA NA NA "BnaC03g11650D" "histone H4" "LOC106405976"
"106405976" NA NA NA NA "BnaA04g16620D" "histone H4" "LOC106405976"
"106405989" NA NA NA NA "BnaC06g05880D" "uncharacterized BNAC06G05880D" "BNAC06G05880D"
"106406012" NA NA NA NA "BnaCnng11890D" "ferredoxin, leaf L-A-like" "LOC106406012"
"106406157" NA NA NA NA "BnaC06g10780D" "uncharacterized BNAC06G10780D" "BNAC06G10780D"
"106406281" NA NA NA NA "BnaC06g05950D" "uncharacterized BNAC06G05950D" "BNAC06G05950D"
"106406345" NA NA NA NA "BnaA07g31540D" "myb-related protein 308-like" "MYB95.1"
"106406345" NA NA NA NA "BnaA07g31540D" "myb-related protein 308-like" "LOC106406345"
"106406418" NA NA NA NA "BnaA06g01500D" "caffeoylshikimate esterase" "LOC106406418"
"106406418" NA NA NA NA "BnaCnng76370D" "caffeoylshikimate esterase" "LOC106406418"
"106406489" "GO:1990961" "BP" "protein DETOXIFICATION 33" "xenobiotic detoxification by transmembrane export across the plasma membrane" "BnaC06g00030D" "protein DETOXIFICATION 33" "LOC106406489"
"106406529" NA NA NA NA "BnaC06g43870D" "leucine-rich repeat receptor-like protein kinase PEPR1" "LOC106406529"
"106406772" "GO:0042752" "BP" "transcription factor TCP21" "regulation of circadian rhythm" "BnaC09g47560D" "transcription factor TCP21" "LOC106406772"
"106406868" "GO:0006325" "BP" "chromatin remodeling protein SHL" "chromatin organization" "BnaC03g60350D" "chromatin remodeling protein SHL" "LOC106406868"
"106406890" NA NA NA NA "BnaC02g30550D" "lamin-like protein" "LOC106406890"
"106406919" NA NA NA NA "BnaCnng65920D" "protein RGF1 INDUCIBLE TRANSCRIPTION FACTOR 1" "BNACNNG65920D"
"106406950" "GO:0030154" "BP" "probable RNA-binding protein ARP1" "cell differentiation" "BnaA07g10230D" "probable RNA-binding protein ARP1" "LOC106406950"
"106407063" "GO:0006412" "BP" "50S ribosomal protein L7/L12" "translation" "BnaC07g51160D" "50S ribosomal protein L7/L12" "LOC106407063"
"106407107" NA NA NA NA "BnaC07g31420D" "putative glycine-rich cell wall structural protein 1" "LOC106407107"
"106407276" NA NA NA NA "BnaC09g05650D" "transcription factor MYB96" "LOC106407276"
"106407316" "GO:0002181" "BP" "60S ribosomal protein L36-2" "cytoplasmic translation" "BnaC04g45340D" "60S ribosomal protein L36-2" "LOC106407316"
"106407465" "GO:0048024" "BP" "KH domain-containing protein At2g38610" "regulation of mRNA splicing, via spliceosome" "BnaC03g21490D" "KH domain-containing protein At2g38610" "LOC106407465"
"106407540" "GO:0005975" "BP" "glucan endo-1,3-beta-glucosidase 7" "carbohydrate metabolic process" "BnaC09g08880D" "glucan endo-1,3-beta-glucosidase 7" "LOC106407540"
"106407644" "GO:0022414" "BP" "oleosin Bn-V-like" "reproductive process" "BnaC07g39370D" "oleosin Bn-V-like" "S3"
"106407644" "GO:0022414" "BP" "oleosin Bn-V-like" "reproductive process" "BnaC07g39370D" "oleosin Bn-V-like" "LOC106407644"
"106407644" "GO:0022414" "BP" "oleosin Bn-V-like" "reproductive process" "BnaC07g39370D" "oleosin Bn-V-like" "BnV"
"106407644" "GO:0022414" "BP" "oleosin Bn-V-like" "reproductive process" "BnaC07g39370D" "oleosin Bn-V-like" "S3"
"106407644" "GO:0022414" "BP" "oleosin Bn-V-like" "reproductive process" "BnaC07g39370D" "oleosin Bn-V-like" "LOC106407644"
"106407644" "GO:0022414" "BP" "oleosin Bn-V-like" "reproductive process" "BnaC07g39370D" "oleosin Bn-V-like" "BnV"
"106407644" "GO:0022414" "BP" "oleosin Bn-V-like" "reproductive process" "BnaC07g39370D" "oleosin Bn-V-like" "S3"
"106407644" "GO:0022414" "BP" "oleosin Bn-V-like" "reproductive process" "BnaC07g39370D" "oleosin Bn-V-like" "LOC106407644"
"106407644" "GO:0022414" "BP" "oleosin Bn-V-like" "reproductive process" "BnaC07g39370D" "oleosin Bn-V-like" "BnV"
"106407701" NA NA NA NA "BnaA02g22630D" "uncharacterized protein ECU03_1610" "BNAA02G22630D"
"106407727" NA NA NA NA "BnaA02g24470D" "WRKY transcription factor 8-like" "LOC106407727"
"106407727" NA NA NA NA "BnaA02g24470D" "WRKY transcription factor 8-like" "WRKY8.1"
"106408474" "GO:0060320" "BP" "S-protein homolog 9" "rejection of self pollen" "BnaC07g50360D" "S-protein homolog 9" "LOC106408474"
"106409000" NA NA NA NA "BnaC07g32860D" "outer envelope membrane protein 7" "LOC106409000"
"106409001" NA NA NA NA "BnaC06g07230D" "arabinogalactan protein 21" "LOC106409001"
"106409056" NA NA NA NA "BnaC05g44770D" "wound-induced basic protein" "LOC106409056"
"106409412" NA NA NA NA "BnaCnng58790D" "phytolongin Phyl2.1" "LOC106409412"
"106409447" "GO:0009611" "BP" "protease inhibitor HPI" "response to wounding" "BnaC03g21710D" "protease inhibitor HPI" "LOC106409447"
"106409870" NA NA NA NA "BnaC05g23590D" "V-type proton ATPase subunit E2" "LOC106409870"
"106410033" "GO:0006629" "BP" "GDSL esterase/lipase At5g55050" "lipid metabolic process" "BnaC09g31580D" "GDSL esterase/lipase At5g55050" "LOC106410033"
"106410474" "GO:0006004" "BP" "O-fucosyltransferase 27" "fucose metabolic process" "BnaC07g49130D" "O-fucosyltransferase 27" "BNAC07G49130D"
"106410770" NA NA NA NA "BnaA05g13220D" "non-specific lipid transfer protein GPI-anchored 25" "LOC106410770"
"106410857" NA NA NA NA "BnaC05g23610D" "obg-like ATPase 1" "LOC106410857"
"106410945" NA NA NA NA "BnaC07g32840D" "RNA-binding protein CP33, chloroplastic" "LOC106410945"
"106411001" "GO:0009734" "BP" "VAN3-binding protein" "auxin-activated signaling pathway" "BnaA06g36500D" "VAN3-binding protein" "LOC106411001"
"106411001" "GO:0010305" "BP" "VAN3-binding protein" "leaf vascular tissue pattern formation" "BnaA06g36500D" "VAN3-binding protein" "LOC106411001"
"106411001" "GO:0010087" "BP" "VAN3-binding protein" "phloem or xylem histogenesis" "BnaA06g36500D" "VAN3-binding protein" "LOC106411001"
"106411080" "GO:0015979" "BP" "photosystem I reaction center subunit psaK, chloroplastic-like" "photosynthesis" "BnaA09g26140D" "photosystem I reaction center subunit psaK, chloroplastic-like" "LOC106411080"
"106411172" "GO:0009734" "BP" "auxin response factor 5" "auxin-activated signaling pathway" "BnaC07g48490D" "auxin response factor 5" "LOC106411172"
"106411172" "GO:0006355" "BP" "auxin response factor 5" "regulation of DNA-templated transcription" "BnaC07g48490D" "auxin response factor 5" "LOC106411172"
"106411178" NA NA NA NA "BnaC05g23540D" "WPP domain-associated protein-like" "LOC106411178"
"106411212" "GO:0000447" "BP" "40S ribosomal protein S21-2" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" "BnaA09g54920D" "40S ribosomal protein S21-2" "LOC106411212"
"106411212" "GO:0000447" "BP" "40S ribosomal protein S21-2" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" "BnaC08g24870D" "40S ribosomal protein S21-2" "LOC106411212"
"106411212" "GO:0000461" "BP" "40S ribosomal protein S21-2" "endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" "BnaA09g54920D" "40S ribosomal protein S21-2" "LOC106411212"
"106411212" "GO:0000461" "BP" "40S ribosomal protein S21-2" "endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" "BnaC08g24870D" "40S ribosomal protein S21-2" "LOC106411212"
"106411212" "GO:0006412" "BP" "40S ribosomal protein S21-2" "translation" "BnaA09g54920D" "40S ribosomal protein S21-2" "LOC106411212"
"106411212" "GO:0006412" "BP" "40S ribosomal protein S21-2" "translation" "BnaC08g24870D" "40S ribosomal protein S21-2" "LOC106411212"
"106411212" "GO:0000447" "BP" "40S ribosomal protein S21-2" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" "BnaA09g54920D" "40S ribosomal protein S21-2" "LOC106411212"
"106411212" "GO:0000447" "BP" "40S ribosomal protein S21-2" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" "BnaC08g24870D" "40S ribosomal protein S21-2" "LOC106411212"
"106411212" "GO:0000461" "BP" "40S ribosomal protein S21-2" "endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" "BnaA09g54920D" "40S ribosomal protein S21-2" "LOC106411212"
"106411212" "GO:0000461" "BP" "40S ribosomal protein S21-2" "endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" "BnaC08g24870D" "40S ribosomal protein S21-2" "LOC106411212"
"106411212" "GO:0006412" "BP" "40S ribosomal protein S21-2" "translation" "BnaA09g54920D" "40S ribosomal protein S21-2" "LOC106411212"
"106411212" "GO:0006412" "BP" "40S ribosomal protein S21-2" "translation" "BnaC08g24870D" "40S ribosomal protein S21-2" "LOC106411212"
"106411465" "GO:0006412" "BP" "60S ribosomal protein L32-1" "translation" "BnaC07g35100D" "60S ribosomal protein L32-1" "LOC106411465"
"106411466" "GO:0051017" "BP" "LIM domain-containing protein WLIM1-like" "actin filament bundle assembly" "BnaC08g14110D" "LIM domain-containing protein WLIM1-like" "LOC106411466"
"106411630" "GO:0006412" "BP" "40S ribosomal protein S15a-like" "translation" "BnaA06g04200D" "40S ribosomal protein S15a-like" "RPS15A"
"106411630" "GO:0006412" "BP" "40S ribosomal protein S15a-like" "translation" "BnaC05g05370D" "40S ribosomal protein S15a-like" "RPS15A"
"106411630" "GO:0006412" "BP" "40S ribosomal protein S15a-like" "translation" "BnaC05g05370D" "40S ribosomal protein S15a-like" "LOC106411630"
"106411630" "GO:0006412" "BP" "40S ribosomal protein S15a-like" "translation" "BnaA06g04200D" "40S ribosomal protein S15a-like" "PPCB8"
"106411630" "GO:0006412" "BP" "40S ribosomal protein S15a-like" "translation" "BnaC05g05370D" "40S ribosomal protein S15a-like" "PPCB8"
"106411630" "GO:0006412" "BP" "40S ribosomal protein S15a-like" "translation" "BnaA06g04200D" "40S ribosomal protein S15a-like" "LOC106411630"
"106411630" "GO:0006412" "BP" "40S ribosomal protein S15a-like" "translation" "BnaA06g04200D" "40S ribosomal protein S15a-like" "RPS15A"
"106411630" "GO:0006412" "BP" "40S ribosomal protein S15a-like" "translation" "BnaC05g05370D" "40S ribosomal protein S15a-like" "RPS15A"
"106411630" "GO:0006412" "BP" "40S ribosomal protein S15a-like" "translation" "BnaC05g05370D" "40S ribosomal protein S15a-like" "LOC106411630"
"106411630" "GO:0006412" "BP" "40S ribosomal protein S15a-like" "translation" "BnaA06g04200D" "40S ribosomal protein S15a-like" "PPCB8"
